Unique Sample Number,Days after inoculation,Date,Licor,Trial,Treatment,Species,Plant Number,Isolate Number,Unique Sample Number,Obs,Photosynthesis,Conductance,Ci
1DroughtExotic Pathogen 10,9,6/8/18,6400,1,Drought,Exotic Pathogen ,10,5,7,5,8.202311492,0.068590896,201.1641274
1DroughtExotic Pathogen 10,9,6/8/18,6400,1,Drought,Exotic Pathogen ,10,5,7,6,8.63784812,0.071897237,199.8454378
1DroughtExotic Pathogen 10,9,6/8/18,6400,1,Drought,Exotic Pathogen ,10,5,7,7,8.784519686,0.073964778,201.7525455
1DroughtExotic Pathogen 10,9,6/8/18,6400,1,Drought,Exotic Pathogen ,10,5,7,8,8.648873064,0.075385924,208.1600813
1DroughtExotic Pathogen 10,9,6/8/18,6400,1,Drought,Exotic Pathogen ,10,5,7,9,8.843277119,0.075398097,204.0356312
1DroughtExotic Pathogen 10,9,6/8/18,6400,1,Drought,Exotic Pathogen ,10,5,7,10,8.771990857,0.075936455,206.8865347
1DroughtIndigenous Pathogen 3,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,3,2,8,1,13.29281498,0.104861134,186.786557
1DroughtIndigenous Pathogen 3,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,3,2,8,2,12.12215502,0.103763369,202.7019365
1DroughtIndigenous Pathogen 3,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,3,2,8,3,11.34661238,0.118890299,236.9462759
1DroughtIndigenous Pathogen 3,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,3,2,8,4,11.93436004,0.12171478,232.6817065
1DroughtIndigenous Pathogen 3,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,3,2,8,5,11.71908616,0.123700699,238.0421169
1DroughtIndigenous Pathogen 3,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,3,2,8,6,11.82464927,0.123105496,235.7787793
1DroughtIndigenous Pathogen 3,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,3,2,8,7,11.64521328,0.122656087,237.527297
1DroughtIndigenous Pathogen 3,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,3,2,8,8,12.0556409,0.127529736,238.1102262
1DroughtIndigenous Pathogen 3,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,3,2,8,9,11.5899343,0.122953074,238.5180044
1DroughtIndigenous Pathogen 3,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,3,2,8,10,11.8399072,0.124093933,236.6429643
1WetControl7,9,6/8/18,6400,1,Wet,Control,7,,9,1,5.491157429,0.033749093,134.9488989
1WetControl7,9,6/8/18,6400,1,Wet,Control,7,,9,2,5.901964182,0.035801183,131.3696317
1WetControl7,9,6/8/18,6400,1,Wet,Control,7,,9,3,5.945542315,0.03575317,129.0577835
1WetControl7,9,6/8/18,6400,1,Wet,Control,7,,9,4,5.865956388,0.037377197,143.8639889
1WetControl7,9,6/8/18,6400,1,Wet,Control,7,,9,5,6.002313806,0.039389792,150.9455454
1WetControl7,9,6/8/18,6400,1,Wet,Control,7,,9,6,6.284186358,0.040418668,145.8919205
1WetControl7,9,6/8/18,6400,1,Wet,Control,7,,9,7,6.384930952,0.042667473,154.8727495
1WetControl7,9,6/8/18,6400,1,Wet,Control,7,,9,8,6.461815389,0.0448185,163.3801098
1WetControl7,9,6/8/18,6400,1,Wet,Control,7,,9,9,6.704148685,0.048166646,171.0548928
1WetControl10,35,7/4/18,6400,1,Wet,Control,10,,10,1,10.9212829,0.179699613,286.9735477
1WetControl10,35,7/4/18,6400,1,Wet,Control,10,,10,2,11.1549194,0.180061162,285.3900839
1WetControl10,35,7/4/18,6400,1,Wet,Control,10,,10,3,11.6784252,0.18496001,283.3702242
1WetControl10,35,7/4/18,6400,1,Wet,Control,10,,10,4,11.32521542,0.194074454,291.7161604
1WetControl10,35,7/4/18,6400,1,Wet,Control,10,,10,5,11.18162889,0.190589367,291.2337255
1WetControl10,35,7/4/18,6400,1,Wet,Control,10,,10,6,11.24861736,0.189996317,290.3536075
1WetControl10,35,7/4/18,6400,1,Wet,Control,10,,10,7,11.13763259,0.188332424,290.4487874
1WetControl10,35,7/4/18,6400,1,Wet,Control,10,,10,8,10.87254151,0.186396171,291.6056871
1WetControl10,35,7/4/18,6400,1,Wet,Control,10,,10,9,11.02660256,0.186987906,290.560531
1WetControl10,35,7/4/18,6400,1,Wet,Control,10,,10,10,11.05967777,0.184457634,288.8953742
1WetExotic Pathogen 4,35,7/4/18,6400,1,Wet,Exotic Pathogen ,4,2,11,1,-0.079932586,-0.000239271,-138.3661872
1WetExotic Pathogen 4,35,7/4/18,6400,1,Wet,Exotic Pathogen ,4,2,11,2,7.642787665,0.042832829,104.672008
1WetExotic Pathogen 4,35,7/4/18,6400,1,Wet,Exotic Pathogen ,4,2,11,3,7.253950166,0.044865894,130.7432205
1WetExotic Pathogen 4,35,7/4/18,6400,1,Wet,Exotic Pathogen ,4,2,11,4,8.073792602,0.047545199,117.7317067
1WetExotic Pathogen 4,35,7/4/18,6400,1,Wet,Exotic Pathogen ,4,2,11,5,7.274036934,0.049750643,155.0591385
1WetExotic Pathogen 4,35,7/4/18,6400,1,Wet,Exotic Pathogen ,4,2,11,6,9.208505947,0.051438215,103.7182089
1WetExotic Pathogen 4,35,7/4/18,6400,1,Wet,Exotic Pathogen ,4,2,11,7,7.727522714,0.055063044,164.5897466
1WetExotic Pathogen 4,35,7/4/18,6400,1,Wet,Exotic Pathogen ,4,2,11,8,7.82170652,0.054934407,160.7653654
1WetExotic Pathogen 4,35,7/4/18,6400,1,Wet,Exotic Pathogen ,4,2,11,9,8.343360524,0.056595737,152.8549698
1WetExotic Pathogen 4,35,7/4/18,6400,1,Wet,Exotic Pathogen ,4,2,11,10,8.13476126,0.058066833,164.138741
1WetExotic Pathogen 4,35,7/4/18,6400,1,Wet,Exotic Pathogen ,4,2,11,11,8.116032802,0.058054494,164.6163465
1WetExotic Pathogen 7,35,7/4/18,6400,1,Wet,Exotic Pathogen ,7,4,12,1,9.837703932,0.126690937,262.269412
1WetExotic Pathogen 7,35,7/4/18,6400,1,Wet,Exotic Pathogen ,7,4,12,2,9.807773605,0.126743183,262.7162484
1WetExotic Pathogen 7,35,7/4/18,6400,1,Wet,Exotic Pathogen ,7,4,12,3,9.843163193,0.127439449,262.7851402
